userName,content,score,at,thumbsUpCount
Nita Chhetri,All I've ever needed is a corporation with the backing of the RBI that offers secure returns. My sincere gratitude to LenDen Club for serving as my investing platform.,5,2023-04-27 13:36:00,0
Nikita Pradhan,One of the most reliable platforms for investing!!! They have FMPP for investing which helps with my portfolio diversification.,5,2023-04-27 13:32:16,0
Shova Shrestha,LenDenClub has a very responsive and helpful customer service team who provided me assistance during a payment problem that I came across.,5,2023-04-27 13:20:47,0
Shubham Gurjar,"LenDen Club fits my definition of a platform because it is very clear and precise, simple to use, quick to respond to inquiries, completely risk-free, and offers incredible returns.",5,2023-04-27 12:33:38,3
Sapna Arora,"Overall good experience, and easy to use, it also has no withdrawal or opening fee",5,2023-04-26 15:01:57,0
Mehak Garg,"The app is well-designed and simple to use, and the customer support crew was quite helpful in answering my questions.",5,2023-04-26 14:30:04,0
isha singh,FMPP has provided me with an excellent option to generate passive income with minimal effort.,5,2023-04-25 16:43:23,0
kalpanak khatwa,One of the best financial service apps especially for beginners!! Thank You for the great experience overall.,5,2023-04-25 15:19:17,1
Anu Saini,Bad experience it was not good because I have withdraw my money but it's not in my account for 5 days,1,2023-04-25 03:18:37,0
DEEPU ramachandran,"Able to find only add funds to portfolio, no option to close the portfolio in between. That is very much required option which seem to have kept somewhere hidden or made provision only through call centers or customer support. Withdrawl option by interim closing is not available in app. If imvested, only option left is wait till lock in period ends.",1,2023-04-21 05:59:14,8
Sriniwas N,Their customer care support is good. They have been able to communicate the solution and resolution correctly and on time,5,2023-04-18 05:03:15,2
Sampurna Bhaumik,"Recovery mechanisms are less than adequate, not to mention inefficient. Don't invest your money here.",1,2023-04-17 16:06:49,0
mohd sher qureshi,Why camera access required,1,2023-04-17 06:59:36,0
Saravan Sky,Worst experience. Loan amount not received. But cibil score showing personal loan 3000. From innofin solution pvt Ltd,1,2023-04-16 19:06:37,0
Sabuchen Antony,A V Griggs x.y.z J . Rxg,1,2023-03-31 09:49:47,0
Sagar Pisote,Not reply process warking,1,2023-03-24 08:05:54,0
Mukesh Singhvi,"Immature and novice attempt for this highly promsing fintech idea, the app didn't send OTP for multiple attempts, neither any periodic update communicated by mail Or sms, I may lose my investment of 10k, as they not replying eamil, app doesn't work, no call center number.",1,2023-03-24 06:19:49,6
Vishal Poddar,Best investment app 👍 if you are looking for a investment I would suggest go with lendenclub,5,2023-03-20 05:51:56,0
Sulaiman Mejestic,Good service,5,2023-03-19 02:57:58,0
kajal ladola,Even after verification it redirect to enter passcode. Some how not validating passcode no matter what you try.,1,2023-03-17 18:37:45,0
Philomena Ruby,"Hello,i applied for the loan and it is still under the verification not knowing the status of my loan",3,2023-03-17 14:38:48,0
A Google user,The app is an excellent tool to invest your money to give you double digit returns and this is the best feature of this app. Also their service is good. Its very quick and easy.,5,2023-03-17 09:30:20,0
Dyan Dsouza,Great app for investment generating good returns 👍,5,2023-03-16 09:38:07,0
Chinmay Sawant,One of the best app for investment.,5,2023-03-15 09:49:50,0
Pratham Patel,I am a new user but so for the experience is amazing. My queries are quickly addressed by them or through their helpdesk. So ya great effort by team 😊👍 Edit1: now I am not an old user. It's around 3 years. Going on well. Thanks for getting such good investment option.,5,2023-03-15 00:56:30,0
Govindbhai Patel,Have been investors for 4-5 years now. Have got returns varying over the period of time. Latest product FMPP is much better than before.,5,2023-03-14 14:23:23,0
Samarth Dixit,Very good investment option. No market research needed unlike stocks. Received very nice returns in past 2 years.,5,2023-03-14 04:45:29,1
keval devare,"We can invest for various years, which is good to start depending on your finical plan. I have seen other P2P apps doesn't follow most of the guidelines but LenDenClub is very transparent.",5,2023-03-14 03:59:36,1
Nilesh Challawar,I never know earlier that there an alternate investment option available that could be safe as well as give you decent returns. What's fabulous is that this investment works similiar to a mutual fund where your investments are hyper diversified to as low as 10 Rs. Now looking to create a alternat portfolio with lenden club,4,2023-03-14 03:14:35,1
Shweta Mishra,"Special application, lendenclub is one stop destination for all investors to give loan to the genuine borrowers.",5,2023-03-13 18:05:49,1
Atal Agarwal,Superb investment app which is very user friendly and easy to use. The platform has generated avg returns of 11.69% which is very good compared to other investment products. I would certainly recommend this platform for users looking to earn superior returns on their investments.,5,2023-03-13 17:44:07,2
M NP,A product offering high returns with moderate risk. Strongly recomended,5,2023-03-13 17:21:45,1
Shweta's food Tales,User friendly option to invest money and earn double digit returns,5,2023-03-13 17:11:30,1
Jaspal Singh,Easy to use app with good returns. Thanks for simplifying P2P investments for me and my family,5,2023-03-13 17:08:32,1
Vipul Adhwan,a good app for upscaling your portfolio investments.,5,2023-03-13 16:45:10,1
Adhika Dalvi,"Benefit of using a P2P investment is the ability to diversify your portfolio across multiple loans, which can help to minimize risk. I am using this because this allows me to invest as little as 1 ruppee in each loan, which made it easy to spread my investments across a wide range of borrowers.",5,2023-03-13 16:42:24,2
Siona Tuscano,"I received 12% of returns on investment which I can not get anywhere else, wishing you luck people",5,2023-03-13 16:26:48,1
Anjali Pandya,"Now people who have funds can give loan to thoroughly verified borrowers on the platform, a vital initiative I must say.",5,2023-03-13 16:24:37,1
nitinlokhande rdel,"Easy navigation, simplify design make this app user friendly. Very good returns on investment",5,2023-03-13 16:18:31,1
seema sawardekar,Great Investment App,5,2023-03-13 16:10:41,1
Ankur Lakhotia,Much improved Interface. Great alternative investment platform !!!,5,2023-03-13 15:54:54,1
richa dixit,I really liked the interface of the app. Have suggested my friends also to download the app and start investing. So far I have earned 11% returns on my investment. Thank you Lendenclub!,5,2023-03-13 15:47:35,2
Manoj Upadhyay,Hyperdiversifaction of the my investments and a consistent return of ~12% p.a with the new FMPP rests all my worries of investment. The new age Fintech LenDenClub takes care of all my investments needs.,5,2023-03-13 15:36:47,1
Ishwar Patel,The application has really improved now. I can see my money growing through this app. Have recommended many of my friends to install this application.,4,2023-03-13 14:49:30,2
Mahesh Thasal,"Good app for investment, Gives High returns on investment with the low risks and zero brokerage.",5,2023-03-13 10:55:46,3
P S Infosys,Smooth onboarding of the Investor. Best investment app for starting the investments.,5,2023-03-13 10:43:48,3
Preeti Maxien,"It is one of the best apps for P2P investments, giving great ROI. It has a user friendly interface making the journey a lot more easy for the investor. At any point of user journey, you can get guidance from their team, which is extremely helpful whenever you approach.",5,2023-03-13 10:37:36,23
Sagar Chaudhari,The best investment options for our capital in the recent era. This app has very good user interface. It's the best option for best returns to our investment.,5,2023-03-13 10:37:32,18
Mehboob Shaikh,"This app is easy to use and has a very user friendly interface with easy steps and quick response. All the user sign up steps and guidance is available as to make it easy for the user. It also contains visual representation of their products as to understand it clearly and it is less time consuming throughout, making the process easy as all the process is carried out electronically.",5,2023-03-13 10:32:57,49
gaurav jadhav,App is very smooth and Onboarding process is fast,5,2023-03-13 10:29:41,3
Pravin Patidar,Very nice app Easy to understand for investment.,5,2023-03-13 10:29:25,17
Kalpana Shah,Very nice app to investment Easy to use and understand.,5,2023-03-13 10:11:24,17
Jyoti Sawant,Usefull app for the investment New investment ka new daurr,5,2023-03-13 10:08:44,3
Sai Shinde,Very nice app Investment ka new platform Enjoying it,5,2023-03-13 10:07:24,9
Pankaj Tiwari,The new FMPP product is wonderful. The entire user journey is extremely convenient and easy to use. The newly added features and very structured and now the returns also look better. Favorite P2P platform so far. Thanks,5,2023-03-13 10:06:43,17
Mukta Nabar,A good platform to invest and also gives guaranteed returns,5,2023-03-13 10:06:23,16
Mahesh Shinde,Amazing App for Alternate Investment with such great returns. My small investment is diversified in more than 2000 borrowers which is great in risk mitigation and optimizing the returns.,5,2023-03-13 09:46:56,20
Nirmal Rewaria,Fantastic investment opportunity,5,2023-03-13 09:18:11,1
Mudit Agarwal,I recommend the app for investing for a good proportion of your investments. Monthly investing make a good corpus after a few years at the rate income is getting generated. Good features and clarity in app..,5,2023-03-13 06:21:39,19
virendra pal,Interface is much better and seamless than earlier. One of the Good investment options available in the market,5,2023-03-11 07:23:41,20
memesbynikhilofficial,smooth process of Investmening...,5,2023-03-11 06:08:56,4
Instagram Ip,Very smooth process of Investmening😡,5,2023-03-11 06:08:36,1
Ankit Vishwakarma,Best investing platform 🔥,5,2023-03-11 06:07:59,1
Nilay Kothari,Pretty smooth experience using the app.,5,2023-03-11 04:42:17,19
Rajat Sinha,Love this app. I have consistently received good returns. The new fmpp product is good. It's more consistent than before. The experience with not just the app but the support team of lendenclub is also very positive.,5,2023-03-11 04:17:36,18
Pulkit Trehan,Worst,1,2023-03-10 11:53:14,1
Sowrabh Kulkarni,I downloaded the app and paid 500 Now the app gets closed on its own Very poor experience 500 rs wasted Edit: i tried to login after uninstalling and installing again but app not even sending OTP to verify the mobile number A 100% COMPLETE SCAM DO NOT INVEST!!,1,2023-03-09 08:30:38,2
Meher Ali,"At first, this app need full access of your mobile. It is not good for an user. This app will take all our data.",1,2023-03-07 09:33:58,2
Kundan kumar Singh,My invested fund is blocked for 1 year. I can't use/withdraw my funds my in,1,2023-03-06 18:04:50,0
Mukund Pindoria,"Hopeless app, not opening since over a week despite updating to latest version. Finally uninstalled it and reinstalled it, still the same problem persists. It makes users feel very unsafe & extremely skeptical especially in the apps where money is involved.",1,2023-02-28 13:22:29,3
Vivek Singh,This app is froud it's resone is my proccesing fee 199 done but lone is not approved so my 199 payment is dead it's so app is not good very bad app,1,2023-02-19 10:47:50,1
Gariel Langstieh,"This is the only platform to ask for customer's bank statement when processing bank withdrawals to the same registered bank account. They promised 48H maximum time for withdrawals and now after 4 days, it seems to be stuck that way.",1,2023-02-06 08:19:24,3
Sk Rajesh,Ok good,4,2023-02-06 08:14:09,1
Nirjhar Raj,Worst concept to earn money .....so many defaulter .They will trap money in circle .Money will never come out .,3,2023-02-04 17:01:56,0
Ajay verma,Crash in my mobile samsung galaxy m21 After new update i Experiance lot if bugs please role back to old versions i can't login it show error,1,2023-02-04 14:22:36,2
sourav raj,This app is not working on my mobile. After setting up the passcode it doesn't take me to homescreen. It keeps asking passcode again and again.,1,2023-02-02 12:08:34,7
jaideep,"Slowest registeration process i have ever seen, app is pathetic!",1,2023-01-24 17:03:16,0
Sheshan R,Crashing always,1,2023-01-17 08:58:57,0
AR,The stupid app is for India,1,2023-01-16 09:15:07,0
mallikarjun bhargav,Asking to much phone info,2,2023-01-15 04:43:38,0
Harish Chilkoti,India's best P2P Lending app,5,2023-01-11 04:57:40,3
pwn digital,Ghaita app doesn't even deserve a star,1,2023-01-07 10:30:49,0
Prajwal kumbhare,tried to sign up but I'm not getting otp for email verification,1,2023-01-03 13:13:07,0
sachin singh,Good app for investment easy to use and good service. Overall great app,5,2023-01-02 10:58:31,18
benzen joseph,With a very friendly UI its an very apt app for beginners to start their investment journey,5,2023-01-01 07:28:44,2
TTV,"Great going, stopped using other investments options after downloading this app, happy with the fast service provided by lendenclub, Great app loved it!",4,2022-12-30 09:46:48,12
Vaishali Jain,Good application,5,2022-12-30 07:12:45,0
Eswarlal Rajpurohit,Fraud Company. They are looting in the name of advance payment for processing fees and charges. At kast they won't provide loans totally fraud company. Don't fall in their trap.,1,2022-12-29 12:49:49,0
sachin satpute,Worst app. I invested 10000rs they reduced it to 9000 rs in 2 years,1,2022-12-28 14:22:28,0
A Google user,"Service provided and design everything is just precise, i love recommend all to download this lenders app soon.",5,2022-12-27 17:29:23,8
Venkateswarareddy Challa,Please donot invest in Lenden and Faircent. They play with our money in a formal way such that we can do nothing at the end of the day. They change plans without any intimation overnight. Why is RBI not looking into such frauds.,1,2022-12-23 23:49:04,0
Balaji Yadav,Fake app do not invest. Can't widra money once deposited.,1,2022-12-23 11:06:30,0
Arjun Singh,Useless app,1,2022-12-23 04:40:56,0
Ganesh Nichal,"All My friends Don't invest in this,,, My 70% investment is losted. Customer care service people says You lost your 70%money. I lost only last 8 months.",1,2022-12-19 08:39:31,1
mayur chaudhari,"Don't fall in trap. Most of the 5 starts are fake. I was invested around 32k 1 year ago and till date I only get barely around 200rs profit. I withdraw my most of money but today I open the app again and It's not showing now any bad loans,to whom it disbursed like everything. All the data is smartly vanished from old platform. It's a fraud stay away from this. Whenever you invest most of the loans became bad loans .",1,2022-12-15 20:13:30,3
Aaradhya Misal,"Valuable investment tool, just can't believe investing will become so much easy and simple, very surprised and happy with such amazing tool.",5,2022-12-15 03:45:25,18
Joshua Rodrigues,I guess it's a good platform to earn a good returns sometime the app doesnt work well but the rm and customer service take care of it and after resolving they inform us .,4,2022-12-14 02:49:26,3
Ankit Pagaria,Superb alternative investment option for new age Indian Investors. Investment vehicle which goes beyond traditional bank deposits and MFs and provides double digit annualized returns,5,2022-12-13 17:44:17,2
A Google user,"Nowadays investment with high returns become easy and with zero brokerage due to such an ideal lenders app, thank you team for such amazing app.",5,2022-12-13 16:32:06,14
A Google user,Liked so much the concept and design of such an ideal lenders app which provides paperless registration and zero brokerage .,5,2022-12-13 16:22:07,11
A Google user,Iconic lenders app with mind blowing investment information and beneficial for all types of investment .,5,2022-12-13 16:22:04,2
A Google user,Unique lenders app with all good features of investment with less efforts than before .,5,2022-12-13 16:22:01,9
A Google user,"Commendable to invest because of lenders app which provides all facilities of investment, wish you all the best guys",5,2022-12-13 16:11:24,2
A Google user,Liking so much overall features of this unique lenders app very much due to its easiness and simplicity .,5,2022-12-13 16:11:21,8
A Google user,"Absolute innovation for investment with ease, well made app in market",5,2022-12-13 16:11:19,2
Annette B Morales,"Loved a lot concept of this charismatic lenders app because of its simplicity and easiness, lucky to have such app.",5,2022-12-13 15:59:59,16
Georgina J Bradley,"Liked so much the features of this seamless lenders app very much, wish you all the best guys",5,2022-12-13 15:59:56,7
Mary C Rodriguez,"Vivid app , No one can get disappointed with such beautifully designed lenders app , great going team.",5,2022-12-13 15:59:14,7
Pradip Satelwar,Froud application hai nhi loan nhi Lena ess app se...,1,2022-12-12 12:11:42,1
Jeetu Thapar,Easy to use Investment app. Really loved the interface.,4,2022-12-11 13:13:56,3
VULLAGANTI GURAVAREDDY,Dont invest no any time withdrawal option,1,2022-12-11 10:34:08,0
aniket jha,Absolute application. Impressed with features and design.,4,2022-12-06 05:24:13,4
Jadish Raskatchula,Good,5,2022-12-03 09:42:45,0
Arif Hussain,Why I am not able to withdraw my account balance to bank account?,1,2022-12-02 03:22:42,1
pawan kumar,PONZI SCHEME alert.... Worst kind of people they take our money and use it as they like... Horrible people don't put your hard earned money on this.... They are greedy and want to loot you.... If i could message in another thousand places... I would do the same...,1,2022-11-21 17:02:01,2
Adv. Kumar Ashutosh,It is the worst app for investors. I tried to withdraw money and it has been 4 days now and my money is not deposited to my bank account. No answer to calls and mails on their respective helpline numbers and mails.,1,2022-11-21 09:23:20,7
saara jain,"Fraud ! Fraud ! FRAUD ! No one picks up the call , this is a fraud app . Please do not put money in this , you will loose all your money .",1,2022-11-18 05:04:01,1
Abhilash Krishnan,I didn't even installed this app and showing their loan in CIBIL.,1,2022-11-17 16:39:31,1
Ash Monga,"Invested about a year ago, and in that period, they changed the business model, so I decided to withdraw my funds, which has been impossible after 2 weeks of trying. Withdrawal option hidden away, they said bank account details are wrong, even when they were correct, cannot update A/C on platform, CS does not respond when you send them updated a/c info. Sure-shot way to erode customer trust in an industry where trust is everything.",1,2022-11-16 13:00:57,34
Bhupendra Bk Gupta,"Fraud app and please don't invest in this ,if you invest money that money transferred in wallet afterwards you place withdraw request that amount goes down in pending after sometime you will check transfer successful but it will not credited in account such on after sometime the statement will not visible in statement that you added money in your account..wah Fraud ..RBI please take action",1,2022-11-16 05:33:05,5
Dashrath Singh,Nice application safe all deta..,5,2022-11-15 06:55:57,1
Johny Patrick,"Not only is withdrawals are in one corner, it encourages you to reinvest everything back to lend more because that's the only way you're getting any money back because you're lending at your own risk and so many people fail to pay that it will be much better to keep your money in a bank instead of losing it with this app or ANY P2P app. Look it up and do some calculations for your own wellbeing. This isn't profitable AT ALL!!!",1,2022-11-14 13:38:09,23
Shahrukh Khan,ये एप्लीकेशन बहुत खराब है मेरा 50000 रुपए फस चुके प्लीज कोई भी व्यक्ति इसमें निवेश की न सोचें आप सभी से रिक्वेस्ट है प्लीज,1,2022-11-13 12:42:56,1
Polas Sudarshan,Super,5,2022-11-13 09:39:26,0
vijay neshanth,Withdrawal requested 5days ago .. and still I'm not getting my money back!,2,2022-11-11 04:40:05,0
bharatesh patil,"This is worst app for investers, you will loose your money, LenDen Club not revover your money from borrower so ultimately you will loose your hard earned money. Don't invest in LenDenClub",1,2022-11-10 13:58:07,1
John Sy_im,Scam. Big fraud to people,1,2022-11-08 07:38:32,2
SACHIN JAWLA,Osm,5,2022-10-30 08:57:38,0
Gangapur Ravi,Best 😅,5,2022-10-28 12:50:56,0
Om Prakash,"You are giving simple Intrest or Compound Interest return,Is Return is reinvested.",5,2022-10-27 19:32:47,0
pvk,app closing itself when entering account details,1,2022-10-27 13:03:27,0
DO U KNOW ?,भाई लोग दूर रहो ऐसे कम्पनी से ये आप के पैसे को अपना समझ लेते हैं। जब आप अपना इन्वेस्ट किया हुआ पैसा अपने अकाउंट मैं move करेगे तो पहले तो आप को 48 घंटा इंतजार करवाएगे फिर भी पैसा नही आयेगा फिर आप emai और कस्टमर केयर कॉल कर कर के थक जाएंगे ।पैसा मेरा आज भी नही आया है मेरे account में । 1लाख आज 30 दिन से मूव किया हुआ पेंडिंग है क्या करो मैं अब समझ नही आ रहा emai 20 बार कर चुका हो अब तो मेरे नंबर से कस्टमर केयर कॉल भी नही लगता है।,1,2022-10-27 07:46:11,2
Om Ranganekary,"Honourable to recommend all my friends to try out this app to invest , really very beneficial app according to me.",5,2022-10-25 06:52:11,1
Sumit Agrawal,"App not working, not sure how to get started...",1,2022-10-21 03:17:42,0
ATUL KHANDALE,Not working...and the amount also not disbursed very complicated to handled..I was uninstalled the app..don't use,1,2022-10-07 07:29:10,1
Aditya Nair,They will block your money for years without your permission. Go legal if you're a victim. Pathetic customer support has the audacity to tell you they won't return your money when they edited your investment tenure without permission.,1,2022-10-04 06:10:46,0
Mayank kumar Singh,"Installed the app to look at features being provided. But, we need to do registration and provide pan details to just look into the app. I don't like provision of registration without getting to look inside the app.",2,2022-10-04 01:55:06,0
Anannya Bagchi,A very simple-to-use interface of this app makes investing a three-step process,4,2022-10-03 06:30:59,4
Ganga Chavan,It's a nice app to manage investments. I like it!,5,2022-09-28 13:00:35,1
CK,The app interface is so easy to understand. Investing was never this simple🥰🥰🥰,5,2022-09-28 12:41:39,0
RAJA SEKHAR GEDA,This app has a bug.....this is the error I am getting when I am opening the app...when it will get fixed?,1,2022-09-24 01:28:13,2
Sharad Drolia,where is my old investment.i can't see it now.i have investes 7lakh 4 years back nd still i am in loss.pathetic app.,1,2022-09-23 16:19:06,1
Ritesh Jamdurkar,Beware it's a scam. They only show you profit in portfolio but when you request for withdrawal you barely get any profit. The returns shown in app are misleading. I invested 40k for more than 18 months and recived just ₹1200 frofit. Risk to reward is so poor and I think they ate up all my profits.,1,2022-09-16 07:04:08,6
Raj Kumar,One of the worst app... Waste of our times,1,2022-09-15 11:20:16,0
Dushyant Sharma,"After the update, the app is running better than before.",4,2022-09-15 04:02:10,1
ashish jain,"Firstly I strongly disagree with the new FMPP model, but your team said they changed the policy as your old business model was too risky. Secondl, I had Diamond Membership in old model, in the new model I don't know where is my membership at all. Third, when I tried to add funds, it got stuck in your payment gateway (as confirmed with my bank) and now its been more than 2 weeks and I have not received the refund yet. Your support service doesn't respond which makes me sick. LOOT & SCAM",1,2022-09-14 17:40:56,1
*SOURAV* PAUL,Fraud application don't install this application......,1,2022-09-13 17:11:34,0
Anmol Saini,My money is automatically invested to new FMPP scheme without my consent. The old invested money is simply vanished.,1,2022-09-10 15:00:49,0
manveer sharma,I like the app because they have a dashboard from which I can check how much my amount has grown. I don’t think I had such a thing in FD.,4,2022-09-10 12:49:08,0
Nirmal Boghara,"I am a happy and loyal customer of the firm for the past three years since I got what I was looking for. Thanks, wholeheartedly!",5,2022-09-08 13:31:10,1
Vijay Gullapudi,Worst ever app...,1,2022-09-08 10:39:10,0
Bharat Singhal,App hai ya khel hai ye.. 50 bar document upload kr diye.. kyc na hokar de rahi.. nakli app,1,2022-09-05 16:27:09,0
Amrutesh Patil,"App is easy to use, query about portfolio loading resolved instantly after opening the app 2-3 times with proper internet connectivity.",5,2022-09-05 15:39:37,1
RISHABH SHARMA,You help line is not working. I have query before investing. If there is default will i loose principal or interest will reduce.,3,2022-09-05 06:42:18,0
Hack tech,My bank account is not able to verify its saying another but its on my name only,1,2022-09-01 06:15:00,0
Sriram Poranky,i lost money in this app don't download.now they come up with new business model to loot money. its a trap. worst collection team . just playing with public money.,1,2022-08-30 20:17:22,2
Akshay Sharma,Froud app very very froud app,1,2022-08-30 14:48:24,0
Krishan Gandhi,I really love this profound lenders app with ease of no paperwork and no commission .,5,2022-08-30 11:42:57,1
Mrunal Bargude,Fraud app,1,2022-08-30 05:45:36,0
Alex Ruban,They are not returning my money. They think they can make any decision with the money.,1,2022-08-26 17:28:04,0
Kathleen A Johnson,Totally amazed with this investment option which provides me 12 % return on investment and ultimately it helped me to increase my wealth .,5,2022-08-26 17:02:27,1
Debrah L Williamson,Needed Innovation in this digital era which incredibly helps you to increase wealth. All the best team.,5,2022-08-26 17:02:25,1
Dona N McLean,Increase your wealth with the help of this super seamless investment option.,5,2022-08-26 16:53:10,1
Jasmine Webb,It's pretty amazing to have such an ideal lenders app with me because it gives you 12% return on your investment .,5,2022-08-26 16:45:19,1
Paula R Bull,Due to Digitization plenty of investment options are opened but among all of them my favourite is Lendenclub.,5,2022-08-26 16:44:51,1
Johnnie J Cotter,It's always good to have extra income so you must try lendenclub app which gives you 12% returns.,5,2022-08-26 16:35:32,1
Meagan K Ashcraft,Essential to have such classy lenders app which gives you 12 % return on investment which is far more than banks.,5,2022-08-26 16:35:31,1
Matilda D Mathews,I am thrilled with this incredible lenders app which gave me 12% return on my investment which is totally inevitable .,5,2022-08-26 16:35:31,1
shamshad Khan,"Don't waste your hard earned money in this app. If your investment default They are not going to help you back. They are here to earn charges from both side and nothing else. Their senior officer or management not doing to help you, mark my word they just push you to invest more.",1,2022-08-26 09:46:26,1
Jalaj Choudhri,The App forces the users to grant complete access to all your phone and private information. There is no logic. AVOID Also current portfolio simply vanished !!!,1,2022-08-26 07:55:19,3
Vamsi Krishna,"It is good but not great. I had issues with viewing my investments, after update done on Aug 5th. Downloading new update today Aug 25,. Hope it works. Aug 26 Update: I don't have any control over to which group of people i can target. Which age group, what's their score, do they have any job.. no control.",2,2022-08-26 06:07:37,6
KRISHNA NAND,West of time,1,2022-08-25 20:04:55,0
Phúc Ngọc Long,I am impressed with this wonderful lenden club app a lot as it is one of the best app in market for lenders.,5,2022-08-25 07:31:06,1
Hoàng Thúy Nga,"Lendenclub is indias most trusted lending platform for investors, i would love to recommend this to all.",5,2022-08-25 07:31:05,1
Chirag Desale,"Great App with Smooth user experience. Starting amount of Rs 10,000 with 10 to 12% returns is not bad. But even though my amount can be double in 6 yrs, wealth building is too much advertising.",4,2022-08-24 14:22:01,4
